objectid,filename,title,creator,date,date is approx?,description,series number,box number ,folder number,subject,location,latitude,longitude,type,format,language,rights,rightsstatement,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dubois086,max_ilgners_offices_continued.pdf,Second page of Max Ilgner's associations and offices he held,Holocaust Education and Resource Center,,,Second page of a list of associations and offices held by Max Ilgner between 1932 - 1945. Notes typed with handwritten notes. Pages held together with a paperclip.,2,2-6,229,List; Associations; Offices; Max; Illgner; 1932; 1945; Paper Clip ,,,,,application/pdf,,,,max_ilgners_offices_continued,image,/objects/max_ilgners_offices_continued.pdf,/objects/small/max_ilgners_offices_continued_sm.jpg,/objects/thumbs/max_ilgners_offices_continued_th.jpg,,
dubois087,friedrich_jahne_offices.pdf,Friedrich Jahne's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Friedrich Jahne from 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Friedrech; Jahn,,,,,application/pdf,,,,friedrich_jahne_offices,image,/objects/friedrich_jahne_offices.pdf,/objects/small/friedrich_jahne_offices_sm.jpg,/objects/thumbs/friedrich_jahne_offices_th.jpg,,
dubois088,hans_kuhne_offices.pdf,Hans Kuhne's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Hans Kuhne between 1932 - 1945. Notes typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Hans; Kuhne,,,,,application/pdf,,,,hans_kuhne_offices,image,/objects/hans_kuhne_offices.pdf,/objects/small/hans_kuhne_offices_sm.jpg,/objects/thumbs/hans_kuhne_offices_th.jpg,,
dubois089,carl_ludwig_lautenschlaegers_offices.pdf,Carl Ludwig Lautenschlaeger's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Carl Ludwig Lautenschlaeger from 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices Carl; Ludwig; Lautenschlaeger ,,,,,application/pdf,,,,carl_ludwig_lautenschlaegers_offices,image,/objects/carl_ludwig_lautenschlaegers_offices.pdf,/objects/small/carl_ludwig_lautenschlaegers_offices_sm.jpg,/objects/thumbs/carl_ludwig_lautenschlaegers_offices_th.jpg,,
dubois090,judgeletter.pdf,"Two Amendments: Descision from November 3, 1947",,1947-11-3,Yes,Relating to Hans Bobermin and Hins Karl Faunslau reducing their sentences,,2-22,388,Hans; Bobermin; Hins; Karl; Faunslau,"Niremburg, Germany ",,,,application/pdf,,,,judgeletter,image,/objects/judgeletter.pdf,/objects/small/judgeletter_sm.jpg,/objects/thumbs/judgeletter_th.jpg,,
dubois091,nurembergdeposition.pdf,Section of Deposition from Veizsaeckerr and Wormaonn,,,,Page 72 of a deposition of Weizsaecker and Woermann discussing the various deportations,,2-22,388,Deportations; Weizacker; Woermain,"Niremburg, Germany ",,,,application/pdf,,,,nurembergdeposition,image,/objects/nurembergdeposition.pdf,/objects/small/nurembergdeposition_sm.jpg,/objects/thumbs/nurembergdeposition_th.jpg,,
dubois092,wilhelm_rudolf_manns_offices.pdf,Wilhelm Rudolf's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Wilhelm Rudolf from 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices; Wilhelm; Rudolf,,,,,application/pdf,,,,wilhelm_rudolf_manns_offices,image,/objects/wilhelm_rudolf_manns_offices.pdf,/objects/small/wilhelm_rudolf_manns_offices_sm.jpg,/objects/thumbs/wilhelm_rudolf_manns_offices_th.jpg,,
dubois093,heinrich_osters_offices.pdf,Heinrich Oster's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Heinrich Oster from 1932 - 1945. Document is typed with handwritten notes.,2,2-6,229,List; Associations; Offices. Heinrich; Oster; 1932; 1945,,,,,application/pdf,,,,heinrich_osters_offices,image,/objects/heinrich_osters_offices.pdf,/objects/small/heinrich_osters_offices_sm.jpg,/objects/thumbs/heinrich_osters_offices_th.jpg,,
dubois094,wilhelm_ottos_offices.pdf,Wilhelm Otto's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Wilhelm Otto from 1932 - 1945. Notes are typed with handwritten edits.,2,2-6,229,List; Associations; Offices; WIlhelm; Otto\,,,,,application/pdf,,,,wilhelm_ottos_offices,image,/objects/wilhelm_ottos_offices.pdf,/objects/small/wilhelm_ottos_offices_sm.jpg,/objects/thumbs/wilhelm_ottos_offices_th.jpg,,
dubois095,karl_wursters_offices.pdf,Karl Wurster's associations and offices he held,Holocaust Education and Resource Center,,,List of associations and offices held by Karl Wurster from 1932 - 1945. Document is typed with handwritten notes and edits.,2,2-6,229,List; Associations; Offices; Karl; Wurster; 1932; 1945,,,,,application/pdf,,,,karl_wursters_offices,image,/objects/karl_wursters_offices.pdf,/objects/small/karl_wursters_offices_sm.jpg,/objects/thumbs/karl_wursters_offices_th.jpg,,
